Name,Year,Week,Month,Team,Oppt,Age,h/a,Favored,Spread,O/U,Temperature,Wind,Receptions,Targets,Rec_TDs,Rec_Yds,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Weather_DOME,Weather_Fog,Weather_Rain,Weather_Rain | Fog,Weather_Snow,Weather_Snow | Fog,Weather_Snow | Freezing Rain,Weather_Sunny,FD salary,FD points
"Adams, Davante",2015,14,December,GB,DAL,22.354,1,1,-6.5,42.5,52.0,9.0,3.0,7.333333333333332,0.3333333333333333,23.66666666666667,32,12.666666666666664,19.666666666666668,0.3333333333333333,148.0,0,0,1,0,0,0,0,0,6300.0,2.2
"Adams, Davante",2015,15,December,GB,OAK,22.361,0,1,-4.0,47.0,51.0,10.0,2.6666666666666665,7.0,0.3333333333333333,15.666666666666664,6,12.0,19.666666666666668,0.3333333333333333,134.0,0,0,0,0,0,0,0,1,6000.0,5.7
"Adams, Davante",2015,16,December,GB,ARI,23.003,0,0,-6.0,50.5,72.0,0.0,3.6666666666666665,6.0,0.3333333333333333,21.66666666666667,8,12.0,23.0,1.0,146.66666666666666,1,0,0,0,0,0,0,0,5600.0,5.7
"Adams, Davante",2016,2,September,GB,MIN,23.269000000000002,0,1,-2.0,43.0,72.0,0.0,3.333333333333333,6.333333333333332,0.3333333333333333,41.0,9,13.0,26.0,0.0,178.0,1,0,0,0,0,0,0,0,5700.0,2.1
"Adams, Davante",2016,3,September,GB,DET,23.276,1,1,-6.5,47.5,72.0,10.0,3.6666666666666665,6.666666666666668,0.3333333333333333,41.333333333333336,1,14.0,22.0,0.5,208.0,0,0,0,0,0,0,0,1,5700.0,9.3
"Adams, Davante",2016,5,October,GB,NYG,23.29,1,1,-7.0,49.0,48.0,2.0,3.0,5.0,0.3333333333333333,34.333333333333336,24,14.0,21.66666666666667,1.3333333333333333,227.66666666666663,0,0,0,0,0,0,0,1,5500.0,17.0
"Adams, Davante",2016,6,October,GB,DAL,23.296999999999997,1,1,-5.0,47.0,67.0,4.0,3.333333333333333,5.666666666666668,0.6666666666666666,44.66666666666666,4,12.0,20.33333333333333,1.6666666666666667,191.66666666666663,0,0,0,0,0,0,0,1,5400.0,4.4
"Adams, Davante",2016,7,October,GB,CHI,23.301,1,1,-7.5,46.5,47.0,3.0,3.0,4.333333333333333,0.6666666666666666,47.33333333333334,26,11.0,19.33333333333333,2.333333333333333,175.0,0,0,0,0,0,0,0,1,5100.0,31.7
"Adams, Davante",2016,8,October,GB,ATL,23.311,0,0,-3.0,51.0,72.0,0.0,6.666666666666668,9.0,1.0,83.66666666666667,7,8.666666666666666,18.666666666666668,1.3333333333333333,113.0,1,0,0,0,0,0,0,0,6600.0,13.4
"Adams, Davante",2016,9,November,GB,IND,23.318,1,1,-7.5,52.0,67.0,5.0,9.0,11.0,0.6666666666666666,80.0,14,10.333333333333334,18.0,1.3333333333333333,142.33333333333334,0,0,0,0,0,0,0,1,7100.0,12.1
"Adams, Davante",2016,10,November,GB,TEN,23.325,0,1,-3.0,49.0,55.0,0.0,3.0,7.0,1.0,50.0,6,10.333333333333334,19.666666666666668,0.6666666666666666,132.33333333333334,0,0,0,0,0,0,0,1,7200.0,18.6
"Adams, Davante",2016,11,November,GB,WAS,23.331999999999997,0,0,-3.0,48.5,38.0,15.0,4.5,8.0,0.5,103.0,1,10.666666666666666,17.333333333333332,1.6666666666666667,151.66666666666666,0,0,0,0,0,0,0,1,7600.0,5.7
"Adams, Davante",2016,12,November,GB,PHI,23.34,0,0,-4.0,47.5,47.0,4.0,4.0,7.333333333333332,0.3333333333333333,82.66666666666667,27,11.666666666666664,16.666666666666668,2.333333333333333,194.66666666666663,0,0,0,0,0,0,0,1,7600.0,25.8
"Adams, Davante",2016,13,December,GB,HOU,23.346,1,1,-7.0,44.5,31.0,4.0,4.666666666666667,7.0,0.6666666666666666,103.66666666666669,19,11.333333333333336,15.666666666666664,2.0,188.66666666666663,0,0,0,0,1,0,0,0,6800.0,2.2
"Adams, Davante",2016,14,December,GB,SEA,23.353,1,0,-3.0,47.0,27.0,2.0,3.0,6.333333333333332,0.6666666666666666,57.33333333333334,12,11.333333333333336,17.0,1.3333333333333333,181.33333333333331,0,0,0,0,0,0,0,1,6400.0,18.4
"Adams, Davante",2016,15,December,GB,CHI,23.36,0,1,-4.5,40.0,9.0,7.0,3.333333333333333,6.333333333333332,1.0,78.0,2,11.0,19.666666666666668,0.6666666666666666,130.66666666666666,0,0,0,0,0,0,0,1,6900.0,3.5
"Adams, Davante",2016,16,December,GB,MIN,24.0,1,1,-6.0,44.5,35.0,4.0,2.333333333333333,6.333333333333332,0.3333333333333333,48.66666666666666,3,15.666666666666664,26.66666666666667,1.3333333333333333,191.0,0,0,0,0,0,0,0,1,6600.0,12.4
"Adams, Davante",2017,2,September,GB,ATL,24.267,0,0,-2.5,41.0,72.0,0.0,7.0,10.0,1.6666666666666667,57.33333333333334,11,9.0,16.0,0.0,130.0,1,0,0,0,0,0,0,0,6700.0,19.9
"Adams, Davante",2017,3,September,GB,CIN,24.274,1,1,-9.0,47.5,85.0,9.0,6.333333333333332,8.666666666666666,1.3333333333333333,62.33333333333334,24,11.0,18.5,0.0,178.0,0,0,0,0,0,0,0,1,6800.0,7.5
"Adams, Davante",2017,4,September,GB,CHI,24.278000000000002,1,1,-7.5,44.5,59.0,8.0,5.666666666666668,8.333333333333334,1.0,63.33333333333334,15,11.333333333333336,17.666666666666668,0.3333333333333333,161.0,0,0,0,0,0,0,0,1,7100.0,8.3
"Adams, Davante",2017,5,October,GB,DAL,24.288,0,0,-2.0,52.5,72.0,0.0,4.333333333333333,7.0,0.6666666666666666,57.33333333333334,2,12.333333333333336,19.666666666666668,0.6666666666666666,161.33333333333334,1,0,0,0,0,0,0,0,6900.0,22.1
"Adams, Davante",2017,6,October,GB,MIN,24.295,0,1,-3.0,44.5,72.0,0.0,4.0,7.333333333333332,1.0,46.33333333333334,19,12.333333333333336,19.0,1.6666666666666667,134.66666666666666,1,0,0,0,0,0,0,0,7200.0,13.9
"Adams, Davante",2017,7,October,GB,NO,24.302,1,0,-3.5,46.0,54.0,15.0,4.666666666666667,8.666666666666666,1.3333333333333333,44.33333333333334,5,12.666666666666664,20.33333333333333,1.3333333333333333,143.0,0,0,1,0,0,0,0,0,6900.0,2.2
"Adams, Davante",2017,9,November,GB,DET,24.316999999999997,1,0,-2.5,42.5,35.0,3.0,4.666666666666667,8.666666666666666,1.0,44.0,2,14.0,20.33333333333333,1.3333333333333333,184.0,0,0,0,0,0,0,0,1,6500.0,8.8
"Adams, Davante",2017,10,November,GB,CHI,24.323,0,0,-4.5,37.5,40.0,6.0,3.0,7.0,0.0,47.0,9,15.0,21.33333333333333,1.0,218.33333333333331,0,0,1,0,0,0,0,0,6000.0,17.5
"Adams, Davante",2017,11,November,GB,BAL,24.33,1,0,-2.0,38.0,27.0,15.0,4.0,7.5,0.5,68.5,21,15.0,22.66666666666667,1.3333333333333333,231.33333333333331,0,0,0,0,0,0,0,1,6700.0,16.6
"Adams, Davante",2017,12,November,GB,PIT,24.337,0,0,-14.0,41.5,38.0,7.0,5.333333333333333,8.333333333333334,0.3333333333333333,87.66666666666669,2,12.333333333333336,18.33333333333333,1.3333333333333333,176.66666666666663,0,0,0,0,0,0,0,1,6600.0,16.7
"Adams, Davante",2017,13,December,GB,TB,24.344,1,1,-2.0,45.0,42.0,8.0,6.0,8.666666666666666,0.6666666666666666,99.33333333333331,23,12.666666666666664,19.666666666666668,1.6666666666666667,170.33333333333334,0,0,0,0,0,0,0,1,6500.0,6.2
"Adams, Davante",2017,14,December,GB,CLE,24.351,0,1,-2.5,38.5,29.0,24.0,5.666666666666668,8.0,0.3333333333333333,83.33333333333333,14,11.666666666666664,17.0,1.3333333333333333,144.66666666666666,0,0,0,0,0,0,0,1,6900.0,25.4
"Adams, Davante",2017,15,December,GB,CAR,24.358,0,0,-3.0,46.5,51.0,5.0,6.333333333333332,9.333333333333334,1.0,69.33333333333333,18,11.666666666666664,18.33333333333333,1.6666666666666667,158.33333333333334,0,0,0,0,0,0,0,1,7300.0,14.2
"Agholor, Nelson",2015,2,September,PHI,DAL,22.119,1,1,-6.5,54.0,74.0,7.0,1.6666666666666667,4.0,0.3333333333333333,32.333333333333336,26,16.0,24.0,2.0,246.0,0,0,0,0,0,0,0,1,5700.0,4.6
"Agholor, Nelson",2015,3,September,PHI,NYJ,22.125999999999998,0,0,-3.0,47.0,70.0,5.0,1.6666666666666667,4.0,0.0,22.0,7,12.5,19.0,1.5,181.0,0,0,0,0,0,0,0,1,5300.0,0.0
"Agholor, Nelson",2015,4,October,PHI,WAS,22.13300000000001,0,1,-3.0,45.5,59.0,13.0,1.6666666666666667,5.0,0.0,22.0,9,16.333333333333332,27.33333333333333,1.6666666666666667,197.66666666666663,0,0,0,0,0,0,0,1,4900.0,5.9
"Agholor, Nelson",2015,5,October,PHI,NO,22.14,1,1,-6.5,49.5,67.0,4.0,2.0,4.666666666666667,0.0,31.66666666666667,3,15.0,26.0,1.3333333333333333,168.33333333333334,0,0,0,0,0,0,0,1,5200.0,1.0
"Agholor, Nelson",2015,10,November,PHI,MIA,22.175,1,1,-6.0,49.5,59.0,9.0,1.0,2.0,0.0,5.0,11,14.0,20.666666666666668,1.3333333333333333,168.0,0,0,0,0,0,0,0,1,4900.0,4.7
"Agholor, Nelson",2015,11,November,PHI,TB,22.182,1,1,-6.5,45.5,48.0,10.0,2.0,3.0,0.0,18.5,3,13.666666666666664,21.66666666666667,1.3333333333333333,178.33333333333337,0,0,0,0,0,0,0,1,5100.0,2.6
"Agholor, Nelson",2015,12,November,PHI,DET,22.186,0,0,-3.0,47.0,72.0,0.0,2.333333333333333,3.333333333333333,0.0,16.0,6,14.666666666666664,22.66666666666667,2.333333333333333,192.66666666666663,1,0,0,0,0,0,0,0,4800.0,2.5
"Agholor, Nelson",2015,13,December,PHI,NE,22.195999999999998,0,0,-9.5,49.0,44.0,5.0,2.6666666666666665,3.333333333333333,0.0,19.33333333333333,17,14.0,21.66666666666667,2.6666666666666665,161.33333333333334,0,0,0,0,0,0,0,1,4700.0,0.0
"Agholor, Nelson",2015,14,December,PHI,BUF,22.20300000000001,1,1,-1.0,48.5,69.0,1.0,1.6666666666666667,2.6666666666666665,0.0,8.666666666666666,8,14.333333333333336,24.0,2.6666666666666665,154.66666666666666,0,0,0,0,0,0,0,1,4700.0,13.7
"Agholor, Nelson",2015,15,December,PHI,ARI,22.21,1,0,-4.0,51.5,34.0,3.0,1.6666666666666667,3.333333333333333,0.3333333333333333,25.66666666666667,18,14.0,25.66666666666667,2.0,166.0,0,0,0,0,0,0,0,1,4700.0,0.0
"Agholor, Nelson",2015,16,December,PHI,WAS,22.215999999999998,1,1,-3.5,48.5,50.0,5.0,1.0,3.0,0.3333333333333333,20.666666666666668,11,12.666666666666664,26.0,1.0,169.0,0,0,0,0,0,0,0,1,4700.0,4.5
"Agholor, Nelson",2016,2,September,PHI,CHI,23.118000000000002,0,0,-3.0,43.0,80.0,2.0,1.6666666666666667,4.0,0.3333333333333333,26.33333333333333,21,5.0,15.0,0.0,137.0,0,0,0,0,0,0,0,1,5600.0,6.2
"Agholor, Nelson",2016,3,September,PHI,PIT,23.124000000000002,1,0,-4.0,46.5,71.0,1.0,2.6666666666666665,5.0,0.3333333333333333,37.333333333333336,17,9.0,17.0,0.0,160.5,0,0,0,0,0,0,0,1,5600.0,3.6
"Agholor, Nelson",2016,5,October,PHI,DET,23.138,0,1,-3.5,46.0,72.0,0.0,3.0,4.333333333333333,0.0,28.66666666666667,18,12.0,22.33333333333333,0.0,181.66666666666663,1,0,0,0,0,0,0,0,5400.0,4.2
"Agholor, Nelson",2016,6,October,PHI,WAS,23.145,0,1,-3.0,45.0,69.0,5.0,3.0,5.666666666666668,0.0,30.0,16,14.0,22.33333333333333,0.3333333333333333,177.33333333333337,0,0,0,0,0,0,0,1,5500.0,4.9
"Agholor, Nelson",2016,7,October,PHI,MIN,23.151999999999997,1,0,-3.0,39.0,61.0,10.0,2.6666666666666665,4.666666666666667,0.0,27.33333333333333,17,14.0,24.33333333333333,0.6666666666666666,177.33333333333337,0,0,0,0,0,0,0,1,5300.0,2.0
"Agholor, Nelson",2016,8,October,PHI,DAL,23.159000000000002,0,0,-5.0,44.0,72.0,0.0,2.333333333333333,5.666666666666668,0.0,23.66666666666667,10,11.666666666666664,19.33333333333333,1.0,148.33333333333334,1,0,0,0,0,0,0,0,5000.0,4.0
