Age,Month,Name,Oppt,Rec_TDs,Rec_Yds,Receptions,Targets,Team,Week,Year
23.076999999999998,September,"Hoomanawanui, Michael",NYG,0.0,21.0,2.0,3.0,LAR,2,2011
23.232,September,"Kendricks, Lance",NYG,0.0,19.333333333333332,2.0,3.0,LAR,2,2011
24.164,September,"Cook, Jared",BAL,0.3333333333333333,90.66666666666667,5.666666666666667,6.666666666666667,TEN,2,2011
27.23,September,"Davis, Vernon",DAL,0.3333333333333333,52.666666666666664,3.6666666666666665,7.0,SF,2,2011
24.055,September,"Dickson, Ed",TEN,0.6666666666666666,23.0,2.3333333333333335,3.6666666666666665,BAL,2,2011
31.092,September,"Gates, Antonio",NE,0.6666666666666666,46.333333333333336,4.333333333333333,5.666666666666667,LAC,2,2011
24.298000000000002,September,"Graham, Jimmy",CHI,0.6666666666666666,55.666666666666664,5.333333333333333,9.333333333333334,NO,2,2011
23.094,September,"Gresham, Jermaine",DEN,0.3333333333333333,39.0,3.6666666666666665,6.333333333333333,CIN,2,2011
22.127,September,"Gronkowski, Rob",LAC,0.6666666666666666,97.0,5.666666666666667,8.0,NE,2,2011
26.191,September,"Olsen, Greg",GB,0.3333333333333333,29.666666666666668,1.6666666666666667,4.0,CAR,2,2011
24.099,September,"Phillips, John",SF,0.3333333333333333,12.333333333333334,1.3333333333333333,1.3333333333333333,DAL,2,2011
21.313000000000002,September,"Rudolph, Kyle",TB,0.3333333333333333,12.666666666666666,1.6666666666666667,2.6666666666666665,MIN,2,2011
23.063000000000002,September,"Stocker, Luke",MIN,0.0,6.0,1.3333333333333333,1.6666666666666667,TB,2,2011
27.037,September,"Walker, Delanie",DAL,0.0,0.0,0.0,1.6666666666666667,SF,2,2011
30.274,September,"Watson, Ben",IND,0.0,19.666666666666668,2.3333333333333335,4.666666666666667,CLE,2,2011
22.205,September,"Allen, Dwayne",MIN,0.0,36.0,3.0,6.0,IND,2,2012
25.162,September,"Cook, Jared",LAC,0.3333333333333333,44.666666666666664,3.6666666666666665,7.333333333333333,TEN,2,2012
28.229,September,"Davis, Vernon",DET,0.0,50.0,3.3333333333333335,4.0,SF,2,2012
25.053,September,"Dickson, Ed",PHI,0.0,31.0,2.6666666666666665,3.3333333333333335,BAL,2,2012
25.296999999999997,September,"Graham, Jimmy",CAR,0.6666666666666666,100.0,8.0,12.0,NO,2,2012
24.092,September,"Gresham, Jermaine",CLE,0.0,36.666666666666664,2.6666666666666665,3.3333333333333335,CIN,2,2012
23.125,September,"Gronkowski, Rob",ARI,1.6666666666666667,95.66666666666667,5.666666666666667,7.0,NE,2,2012
24.23,September,"Kendricks, Lance",WAS,0.6666666666666666,69.33333333333333,3.3333333333333335,6.0,LAR,2,2012
27.189,September,"Olsen, Greg",NO,0.0,32.0,3.3333333333333335,4.333333333333333,CAR,2,2012
23.038,September,"Paul, Niles",LAR,0.0,7.0,0.3333333333333333,1.3333333333333333,WAS,2,2012
25.096999999999998,September,"Phillips, John",SEA,0.0,2.0,0.6666666666666666,1.0,DAL,2,2012
22.311999999999998,September,"Rudolph, Kyle",IND,0.3333333333333333,24.666666666666668,2.6666666666666665,5.333333333333333,MIN,2,2012
28.035,September,"Walker, Delanie",DET,0.6666666666666666,46.0,2.6666666666666665,4.333333333333333,SF,2,2012
31.273000000000003,September,"Watson, Ben",CIN,0.0,41.0,4.0,7.333333333333333,CLE,2,2012
23.008000000000003,September,"Eifert, Tyler",PIT,0.3333333333333333,19.666666666666668,2.3333333333333335,2.6666666666666665,CIN,2,2013
25.092,September,"Gresham, Jermaine",PIT,0.6666666666666666,36.666666666666664,3.6666666666666665,4.333333333333333,CIN,2,2013
24.214000000000002,September,"Clay, Charles",IND,0.0,27.0,3.0,5.0,MIA,2,2013
26.160999999999998,September,"Cook, Jared",ATL,0.3333333333333333,21.666666666666668,2.6666666666666665,3.3333333333333335,LAR,2,2013
29.226999999999997,September,"Davis, Vernon",SEA,0.6666666666666666,41.333333333333336,2.6666666666666665,5.0,SF,2,2013
26.052,September,"Dickson, Ed",CLE,0.3333333333333333,20.666666666666668,3.0,4.333333333333333,BAL,2,2013
22.309,September,"Ertz, Zach",LAC,0.3333333333333333,42.333333333333336,3.3333333333333335,5.0,PHI,2,2013
22.224,September,"Escobar, Gavin",KC,0.3333333333333333,21.333333333333332,1.3333333333333333,1.6666666666666667,DAL,2,2013
33.089,September,"Gates, Antonio",PHI,0.3333333333333333,32.0,3.0,3.6666666666666665,LAC,2,2013
26.295,September,"Graham, Jimmy",TB,0.6666666666666666,56.333333333333336,4.0,8.333333333333334,NO,2,2013
25.043000000000003,September,"Green, Virgil",NYG,0.0,8.333333333333334,1.3333333333333333,1.3333333333333333,DEN,2,2013
25.228,September,"Kendricks, Lance",ATL,0.3333333333333333,23.666666666666668,2.6666666666666665,3.3333333333333335,LAR,2,2013
23.094,September,"McDonald, Vance",SEA,0.0,11.0,0.6666666666666666,1.6666666666666667,SF,2,2013
25.285999999999998,September,"McGrath, Sean",DAL,0.3333333333333333,15.0,1.6666666666666667,2.3333333333333335,KC,2,2013
28.188000000000002,September,"Olsen, Greg",BUF,0.3333333333333333,55.0,5.0,7.666666666666667,CAR,2,2013
26.201,September,"Paulsen, Logan",GB,0.0,20.0,3.0,5.666666666666667,WAS,2,2013
23.074,September,"Reed, Jordan",GB,0.3333333333333333,37.333333333333336,4.0,5.333333333333333,WAS,2,2013
23.31,September,"Rudolph, Kyle",CHI,0.0,27.0,2.0,4.0,MIN,2,2013
