Age,Month,Name,Oppt,Rec_TDs,Rec_Yds,Receptions,Targets,Team,Week,Year
22.362,9,"Baldwin, Doug",PIT,0.6666666666666666,41.0,3.3333333333333335,5.666666666666667,SEA,2,2011
22.364,9,"Britt, Kenny",BAL,2.0,136.0,5.0,10.0,TEN,2,2011
23.07,9,"Brown, Antonio",SEA,0.3333333333333333,81.33333333333333,4.333333333333333,8.0,PIT,2,2011
21.026999999999997,9,"Cobb, Randall",CAR,0.0,40.0,2.6666666666666665,3.0,GB,2,2011
24.186999999999998,9,"Decker, Eric",CIN,0.0,18.333333333333332,1.3333333333333333,4.333333333333333,DEN,2,2011
28.018,9,"Fitzgerald, Larry",WAS,0.6666666666666666,106.33333333333333,5.333333333333333,9.333333333333334,ARI,2,2011
25.041,9,"Garcon, Pierre",CLE,0.0,40.0,4.333333333333333,9.333333333333334,IND,2,2011
26.159000000000002,9,"Ginn, Ted",DAL,0.0,28.0,2.3333333333333335,3.6666666666666665,SF,2,2011
23.049,9,"Green, A.J.",DEN,0.0,66.33333333333333,4.333333333333333,8.0,CIN,2,2011
24.291,9,"Jackson, DeSean",ATL,0.3333333333333333,59.0,3.6666666666666665,5.666666666666667,PHI,2,2011
22.226999999999997,9,"Jones, Julio",PHI,1.3333333333333333,105.66666666666667,5.333333333333333,9.333333333333334,ATL,2,2011
24.318,9,"LaFell, Brandon",GB,0.3333333333333333,43.666666666666664,1.6666666666666667,4.333333333333333,CAR,2,2011
22.111,9,"Little, Greg",IND,0.3333333333333333,65.33333333333333,3.6666666666666665,7.333333333333333,CLE,2,2011
27.179000000000002,9,"Marshall, Brandon",HOU,1.0,84.66666666666667,4.333333333333333,9.0,MIA,2,2011
26.11,9,"Nelson, Jordy",CAR,1.0,75.0,3.6666666666666665,6.0,GB,2,2011
23.252,9,"Roberts, Andre",WAS,0.6666666666666666,47.666666666666664,4.666666666666667,8.333333333333334,ARI,2,2011
24.185,9,"Sanders, Emmanuel",SEA,0.3333333333333333,17.0,1.6666666666666667,3.0,PIT,2,2011
23.046999999999997,9,"Tate, Golden",PIT,0.0,38.666666666666664,3.3333333333333335,6.666666666666667,SEA,2,2011
25.048000000000002,9,"Wallace, Mike",SEA,0.0,68.33333333333333,4.333333333333333,8.0,PIT,2,2011
25.186,9,"Decker, Eric",ATL,1.3333333333333333,48.666666666666664,4.666666666666667,5.333333333333333,DEN,2,2012
23.226999999999997,9,"Jones, Julio",DEN,1.0,67.66666666666667,4.666666666666667,7.333333333333333,ATL,2,2012
24.267,9,"Thomas, Demaryius",ATL,0.6666666666666666,86.0,6.333333333333333,9.666666666666666,DEN,2,2012
26.319000000000003,9,"Amendola, Danny",WAS,0.3333333333333333,30.0,4.0,9.333333333333334,LAR,2,2012
23.361,9,"Baldwin, Doug",DAL,0.6666666666666666,37.333333333333336,3.0,4.0,SEA,2,2012
23.363000000000003,9,"Britt, Kenny",LAC,0.3333333333333333,23.0,1.6666666666666667,4.666666666666667,TEN,2,2012
24.068,9,"Brown, Antonio",NYJ,0.6666666666666666,69.66666666666667,4.333333333333333,6.333333333333333,PIT,2,2012
25.002,9,"Crabtree, Michael",DET,1.3333333333333333,107.66666666666667,6.666666666666667,11.0,SF,2,2012
26.116999999999997,9,"Edelman, Julian",ARI,0.6666666666666666,45.0,2.6666666666666665,4.333333333333333,NE,2,2012
29.016,9,"Fitzgerald, Larry",NE,0.0,91.0,6.333333333333333,11.666666666666666,ARI,2,2012
21.156,9,"Gordon, Josh",CIN,0.0,24.333333333333332,2.6666666666666665,6.0,CLE,2,2012
24.046999999999997,9,"Green, A.J.",CLE,0.0,56.0,4.666666666666667,9.666666666666666,CIN,2,2012
25.203000000000003,9,"Heyward-Bey, Darrius",MIA,0.6666666666666666,58.0,4.333333333333333,9.0,OAK,2,2012
22.307,9,"Hilton, T.Y.",MIN,0.6666666666666666,74.33333333333333,3.0,5.333333333333333,IND,2,2012
25.29,9,"Jackson, DeSean",BAL,0.3333333333333333,33.333333333333336,2.3333333333333335,5.333333333333333,PHI,2,2012
23.313000000000002,9,"Kerley, Jeremy",PIT,0.0,53.0,2.3333333333333335,4.0,NYJ,2,2012
25.316999999999997,9,"LaFell, Brandon",NO,0.0,42.333333333333336,4.0,5.333333333333333,CAR,2,2012
23.109,9,"Little, Greg",CIN,0.6666666666666666,32.0,3.0,5.666666666666667,CLE,2,2012
23.103,9,"Quick, Brian",WAS,0.3333333333333333,4.0,0.6666666666666666,1.6666666666666667,LAR,2,2012
24.250999999999998,9,"Roberts, Andre",NE,0.0,28.666666666666668,4.0,8.666666666666666,ARI,2,2012
23.358,9,"Robinson, Aldrick",LAR,1.0,56.333333333333336,2.0,2.6666666666666665,WAS,2,2012
25.183000000000003,9,"Sanders, Emmanuel",NYJ,0.0,18.333333333333332,1.3333333333333333,2.0,PIT,2,2012
23.234,9,"Smith, Torrey",PHI,0.3333333333333333,40.333333333333336,3.3333333333333335,6.333333333333333,BAL,2,2012
24.22,9,"Streater, Rod",MIA,0.0,51.666666666666664,3.6666666666666665,5.333333333333333,OAK,2,2012
24.346999999999998,9,"Tate, Brandon",CLE,0.0,27.333333333333332,1.6666666666666667,2.3333333333333335,CIN,2,2012
24.045,9,"Tate, Golden",DAL,0.0,59.333333333333336,3.3333333333333335,4.333333333333333,SEA,2,2012
26.046,9,"Wallace, Mike",NYJ,0.0,39.666666666666664,2.0,6.666666666666667,PIT,2,2012
22.309,9,"Wright, Kendall",LAC,0.0,36.666666666666664,3.3333333333333335,5.333333333333333,TEN,2,2012
